occ_code,occ_title,group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_wpct10,h_wpct25,h_median,h_wpct75,h_wpct90,a_wpct10,a_wpct25,a_median,a_wpct75,a_wpct90,annual,year
00-0000,All Occupations,,"127,980,410",0.1,16.35,"34,020",0.2,6.76,8.72,13.01,20.31,30.23,"14,070","18,140","27,060","42,240","62,880",,2001
11-0000,Management Occupations,major,"7,212,360",0.3,34.04,"70,800",0.2,14.62,20.84,30.88,44.77,66.62,"30,410","43,340","64,220","93,120","138,570",,2001
11-1011,Chief Executives,,"455,930",0.8,51.77,"107,670",0.4,23.52,36.93,57.91,#,#,"48,920","76,810","120,450",#,#,,2001
11-1021,General and Operations Managers,,"2,064,220",0.4,35.37,"73,570",0.2,14.99,20.81,31.25,48.22,#,"31,190","43,280","65,000","100,300",#,,2001
11-1031,Legislators,,"67,400",2.8,13.54,"28,170",1.8,5.69,6.17,7.05,17.00,31.20,"11,830","12,840","14,650","35,360","64,890",,2001
11-2011,Advertising and Promotions Managers,,"85,850",1.4,31.23,"64,960",1.1,14.04,18.45,26.90,40.96,60.52,"29,210","38,370","55,940","85,190","125,880",,2001
11-2021,Marketing Managers,,"189,140",1.1,37.70,"78,410",0.4,18.14,25.06,35.75,49.57,66.61,"37,740","52,130","74,370","103,100","138,540",,2001
11-2022,Sales Managers,,"317,410",0.8,37.02,"77,000",0.3,17.35,23.79,34.43,49.12,68.97,"36,090","49,490","71,620","102,170","143,450",,2001
11-2031,Public Relations Managers,,"64,920",2.7,30.90,"64,280",1.1,15.12,20.28,27.50,39.20,54.28,"31,440","42,190","57,200","81,540","112,910",,2001
11-3011,Administrative Services Managers,,"311,600",1.0,26.67,"55,460",0.4,12.10,16.41,23.95,34.26,45.82,"25,170","34,120","49,810","71,260","95,300",,2001
11-3021,Computer and Information Systems Managers,,"267,310",1.0,40.33,"83,890",0.4,22.31,30.03,39.65,51.03,64.95,"46,410","62,470","82,480","106,140","135,090",,2001
11-3031,Financial Managers,,"570,110",0.9,36.26,"75,430",0.6,18.05,24.17,33.75,46.26,65.72,"37,530","50,270","70,210","96,210","136,700",,2001
11-3040,Human Resources Managers,,"194,470",1.0,31.89,"66,330",0.4,16.69,21.91,29.75,40.65,52.40,"34,720","45,580","61,880","84,540","108,990",,2001
11-3051,Industrial Production Managers,,"183,050",0.7,32.84,"68,310",0.3,17.99,23.35,31.01,41.00,52.86,"37,420","48,560","64,510","85,290","109,950",,2001
11-3061,Purchasing Managers,,"107,130",0.9,29.44,"61,250",0.4,14.79,19.85,27.24,36.93,48.60,"30,750","41,280","56,670","76,810","101,090",,2001
11-3071,"Transportation, Storage, and Distribution Managers",,"108,590",1.0,29.48,"61,330",0.5,15.96,20.88,27.52,36.18,46.20,"33,190","43,440","57,240","75,260","96,100",,2001
11-9011,"Farm, Ranch, and Other Agricultural Managers",,"5,720",5.1,22.41,"46,610",1.3,11.25,15.09,20.27,27.10,37.04,"23,390","31,380","42,170","56,370","77,050",,2001
11-9021,Construction Managers,,"213,960",1.5,31.82,"66,190",0.5,17.66,22.58,29.35,38.74,52.15,"36,730","46,960","61,060","80,580","108,460",,2001
