occ_code,occ_title,group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual
00-0000,All Occupations,,     127567910,       0.1,         17.41,         36210,           0.2,          7.04,          9.08,         13.53,         21.17,         31.97,         14640,         18880,         28140,         44040,         66500,
11-0000,Management occupations,major,       6653480,       0.3,         39.80,         82790,           0.2,         16.15,         23.14,         34.07,         49.39,#,         33590,         48140,         70870,        102730,#,
11-1011,Chief executives,,        389880,       0.8,         67.58,        140580,           0.3,         26.79,         41.64,         64.78,#,#,         55720,         86620,        134740,#,#,
11-1021,General and operations managers,,       1892060,       0.4,         42.64,         88700,           0.3,         16.75,         23.48,         35.00,         54.20,#,         34850,         48840,         72800,        112730,#,
11-1031,Legislators,,         65280,       3.4,         15.14,         31490,           2.1,          5.87,          6.42,          7.90,         19.51,         34.92,         12220,         13340,         16440,         40580,         72630,
11-2011,Advertising and promotions managers,,         71100,       1.4,         35.18,         73170,           1.0,         15.22,         20.06,         29.01,         43.61,         64.61,         31660,         41720,         60350,         90710,        134390,
11-2021,Marketing managers,,        182600,       1.0,         44.32,         92190,           0.5,         20.34,         28.07,         40.01,         55.39,#,         42310,         58390,         83210,        115220,#,
11-2022,Sales managers,,        314180,       0.8,         44.15,         91840,           0.4,         19.03,         26.39,         38.69,         55.59,#,         39580,         54900,         80470,        115620,#,
11-2031,Public relations managers,,         58490,       2.1,         35.94,         74750,           1.2,         16.81,         22.81,         31.16,         43.75,         61.14,         34960,         47430,         64820,         91010,        127170,
11-3011,Administrative services managers,,        278300,       0.8,         30.67,         63780,           0.4,         13.79,         19.06,         27.37,         38.57,         51.68,         28690,         39650,         56940,         80220,        107490,
11-3021,Computer and information systems managers,,        266020,       0.9,         45.78,         95230,           0.3,         24.47,         32.89,         43.15,         55.38,         69.89,         50900,         68410,         89740,        115200,        145380,
11-3031,Financial managers,,        521750,       0.7,         41.92,         87190,           0.4,         19.64,         26.54,         37.16,         51.20,#,         40860,         55200,         77300,        106490,#,
11-3040,Human resources managers,,        171530,       0.8,         36.15,         75190,           0.4,         18.56,         24.27,         33.08,         44.50,         57.63,         38610,         50480,         68800,         92560,        119860,
11-3051,Industrial production managers,,        166350,       0.6,         36.88,         76710,           0.3,         19.84,         25.69,         33.90,         44.47,         57.73,         41270,         53430,         70510,         92500,        120080,
11-3061,Purchasing managers,,         91060,       0.9,         34.17,         71080,           0.4,         17.05,         22.99,         31.22,         42.22,         54.79,         35450,         47810,         64930,         87810,        113970,
