occ_code,occ_title,group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
00-0000,All Occupations,,     130307840,       0.1,         18.21,         37870,           0.1,          7.26,          9.46,         14.15,         22.20,         33.74,         15110,         19680,         29430,         46180,         70180,,
11-0000,Management occupations,major,       5960560,       0.2,         42.52,         88450,           0.1,         18.17,         25.67,         37.32,         53.73,#,         37800,         53400,         77630,        111750,#,,
11-1011,Chief executives,,        321300,       0.6,         67.22,        139810,           0.2,         28.84,         44.19,         68.48,#,#,         59990,         91910,        142440,#,#,,
11-1021,General and operations managers,,       1663810,       0.3,         45.90,         95470,           0.2,         19.26,         26.63,         39.17,         59.64,#,         40060,         55390,         81480,        124040,#,,
11-1031,Legislators,,         61060,       2.6,*,         31320,           2.0,*,*,*,*,*,         11820,         13020,         15740,         38410,         72700,TRUE,
11-2011,Advertising and promotions managers,,         41710,       1.5,         39.06,         81250,           0.8,         16.50,         22.11,         33.10,         50.35,#,         34310,         45980,         68860,        104720,#,,
11-2021,Marketing managers,,        166470,       1.0,         49.03,        101990,           0.5,         23.36,         31.65,         44.56,         62.30,#,         48590,         65830,         92680,        129590,#,,
11-2022,Sales managers,,        317970,       0.7,         47.36,         98510,           0.3,         20.50,         28.45,         42.11,         61.45,#,         42640,         59180,         87580,        127820,#,,
11-2031,Public relations managers,,         43770,       1.5,         41.26,         85820,           0.8,         19.65,         26.42,         36.75,         51.17,#,         40870,         54960,         76450,        106440,#,,
11-3011,Administrative services managers,,        239410,       0.7,         33.44,         69540,           0.3,         15.76,         21.85,         30.78,         41.70,         54.40,         32770,         45460,         64020,         86730,        113150,,
11-3021,Computer and information systems managers,,        259330,       0.8,         49.21,        102360,           0.3,         27.55,         36.17,         46.41,         59.20,#,         57300,         75240,         96520,        123140,#,,
11-3031,Financial managers,,        471950,       0.7,         46.45,         96620,           0.4,         23.03,         30.36,         41.48,         56.80,#,         47910,         63160,         86280,        118150,#,,
11-3041,Compensation and benefits managers,,         51470,       0.9,         36.68,         76300,           0.4,         19.19,         24.74,         33.23,         44.14,         58.81,         39910,         51460,         69130,         91820,        122330,,
11-3042,Training and development managers,,         28720,       1.5,         38.55,         80180,           0.6,         19.63,         26.29,         35.66,         47.12,         61.91,         40830,         54690,         74180,         98010,        128780,,
11-3049,"Human resources managers, all other",,         57830,       1.0,         43.24,         89950,           0.4,         23.95,         31.03,         40.47,         52.14,         67.11,         49820,         64540,         84190,        108460,        139600,,
11-3051,Industrial production managers,,        153950,       0.7,         39.41,         81960,           0.3,         22.26,         28.01,         36.34,         47.03,         61.62,         46300,         58260,         75580,         97830,        128160,,
11-3061,Purchasing managers,,         69300,       0.8,         39.16,         81440,           0.3,         21.17,         27.56,         36.67,         47.74,         61.08,         44030,         57320,         76270,         99300,        127050,,
11-3071,"Transportation, storage, and distribution managers",,         84870,       1.0,         36.12,         75130,           0.4,         19.68,         25.38,         33.23,         43.22,         56.08,         40940,         52790,         69120,         89900,        116640,,
11-9011,"Farm, ranch, and other agricultural managers",,          4070,       7.2,         26.81,         55760,           1.8,         14.66,         19.10,         24.60,         31.95,         41.70,         30500,         39720,         51160,         66460,         86730,,
11-9012,Farmers and ranchers,,           350,      14.6,         19.09,         39720,           7.4,          9.88,         13.21,         16.41,         20.83,         27.27,         20540,         27470,         34140,         43320,         56720,,
11-9021,Construction managers,,        192610,       1.3,         39.31,         81760,           0.6,         20.63,         26.45,         34.74,         46.30,         65.70,         42900,         55010,         72260,         96300,        136670,,
11-9031,"Education administrators, preschool and child care center/program",,         47670,       2.6,         20.51,         42670,           1.2,         11.29,         13.90,         17.79,         24.35,         33.52,         23490,         28920,         37010,         50660,         69710,,
11-9032,"Education administrators, elementary and secondary school",,        213250,       0.8,*,         76890,           0.7,*,*,*,*,*,         49540,         61370,         75400,         91380,        109800,TRUE,
11-9033,"Education administrators, postsecondary",,        105360,       1.5,         37.78,         78590,           0.7,         19.00,         24.71,         33.82,         46.17,         63.10,         39510,         51400,         70350,         96030,        131250,,
11-9039,"Education administrators, all other",,         24710,       3.0,         33.38,         69430,           1.1,         16.94,         22.92,         30.85,         41.14,         53.48,         35240,         47660,         64180,         85580,        111230,,
11-9041,Engineering managers,,        187410,       1.1,         50.71,        105470,           0.4,         31.32,         38.80,         48.44,         59.98,#,         65150,         80710,        100760,        124750,#,,
11-9051,Food service managers,,        191420,       1.0,         21.60,         44930,           0.4,         12.49,         15.72,         19.87,         25.39,         32.72,         25990,         32690,         41340,         52810,         68060,,
11-9061,Funeral directors,,         21960,       2.8,         27.04,         56240,           1.9,         13.31,         17.57,         22.90,         30.29,         43.26,         27670,         36540,         47630,         63010,         89990,,
11-9071,Gaming managers,,          3310,       3.7,         31.69,         65920,           1.5,         15.77,         21.31,         28.82,         39.12,         50.94,         32810,         44320,         59940,         81370,        105950,,
11-9081,Lodging managers,,         31040,       1.9,         22.80,         47420,           1.1,         11.34,         14.56,         19.53,         26.82,         38.18,         23580,         30280,         40610,         55790,         79410,,
11-9111,Medical and health services managers,,        230130,       0.8,         37.09,         77140,           0.4,         20.98,         26.26,         33.51,         43.30,         58.27,         43640,         54620,         69700,         90050,        121190,,
11-9121,Natural sciences managers,,         40400,       2.0,         47.66,         99140,           0.9,         24.16,         32.55,         44.75,         58.74,#,         50260,         67700,         93090,        122170,#,,
11-9131,Postmasters and mail superintendents,,         26120,       0.0,         25.83,         53740,           0.1,         16.86,         22.33,         25.34,         30.07,         34.99,         35080,         46440,         52710,         62540,         72780,,
11-9141,"Property, real estate, and community association managers",,        154230,       1.8,         24.31,         50570,           1.1,          9.66,         13.57,         20.14,         29.36,         43.77,         20100,         28230,         41900,         61060,         91050,,
11-9151,Social and community service managers,,        112910,       1.0,         25.92,         53920,           0.6,         14.56,         18.18,         23.80,         31.37,         40.85,         30280,         37810,         49500,         65240,         84970,,
11-9199,"Managers, all other",,        340720,       0.8,         40.16,         83530,           0.4,         20.27,         27.34,         38.06,         50.49,         63.94,         42160,         56870,         79170,        105030,        132990,,
13-0000,Business and financial operations occupations,major,       5410410,       0.3,         27.85,         57930,           0.2,         14.32,         18.58,         24.88,         33.62,         44.28,         29780,         38660,         51760,         69940,         92110,,
13-1011,"Agents and business managers of artists, performers, and athletes",,         10640,       5.8,         33.68,         70060,           3.3,         12.43,         16.34,         25.87,         42.13,#,         25840,         33990,         53800,         87630,#,,
13-1021,"Purchasing agents and buyers, farm products",,         12970,       3.2,         25.47,         52970,           1.3,         12.58,         16.91,         22.44,         30.62,         41.61,         26170,         35180,         46680,         63700,         86550,,
13-1022,"Wholesale and retail buyers, except farm products",,        132900,       1.4,         23.58,         49050,           0.7,         11.97,         15.51,         20.61,         27.74,         38.62,         24900,         32270,         42870,         57710,         80330,,
13-1023,"Purchasing agents, except wholesale, retail, and farm products",,        267410,       0.6,         25.27,         52560,           0.3,         14.57,         18.17,         23.57,         31.14,         39.63,         30310,         37800,         49030,         64770,         82420,,
13-1031,"Claims adjusters, examiners, and investigators",,        234030,       1.5,         23.66,         49210,           0.5,         13.80,         17.21,         22.21,         28.73,         35.73,         28710,         35800,         46190,         59760,         74310,,
13-1032,"Insurance appraisers, auto damage",,         12900,       4.8,         23.43,         48740,           0.9,         15.53,         18.93,         23.12,         27.23,         32.57,         32310,         39370,         48090,         56640,         67750,,
13-1041,"Compliance officers, except agriculture, construction, health and safety, and transportation",,        161810,       0.9,         25.63,         53320,           0.3,         14.70,         18.37,         23.73,         31.53,         40.13,         30570,         38200,         49360,         65580,         83470,,
13-1051,Cost estimators,,        204330,       1.1,         26.91,         55980,           0.4,         15.00,         19.21,         25.01,         32.82,         41.85,         31200,         39950,         52020,         68260,         87040,,
13-1061,Emergency management specialists,,         11240,       4.5,         23.90,         49720,           1.6,         11.39,         16.03,         22.10,         30.51,         39.20,         23690,         33350,         45980,         63470,         81530,,
13-1071,"Employment, recruitment, and placement specialists",,        181260,       2.5,         23.31,         48470,           0.9,         12.48,         15.44,         20.08,         27.25,         37.95,         25960,         32120,         41780,         56680,         78930,,
13-1072,"Compensation, benefits, and job analysis specialists",,         97740,       1.4,         24.88,         51750,           0.6,         14.89,         18.38,         23.49,         29.82,         37.20,         30970,         38220,         48870,         62020,         77380,,
13-1073,Training and development specialists,,        206860,       0.9,         23.58,         49060,           0.5,         12.79,         16.65,         22.05,         28.70,         36.68,         26600,         34640,         45870,         59690,         76300,,
13-1079,"Human resources, training, and labor relations specialists, all other",,        171880,       1.4,         24.27,         50480,           0.7,          8.13,         17.05,         23.29,         30.84,         40.00,         16920,         35470,         48440,         64140,         83190,,
13-1081,Logisticians,,         52220,       2.1,         30.30,         63010,           0.6,         17.62,         22.60,         28.90,         36.80,         44.87,         36640,         47010,         60110,         76550,         93340,,
13-1111,Management analysts,,        441000,       1.1,         36.06,         75000,           0.6,         18.58,         23.85,         31.91,         43.31,         59.28,         38650,         49600,         66380,         90080,        123300,,
13-1121,Meeting and convention planners,,         40040,       2.2,         21.44,         44590,           0.9,         12.11,         15.41,         19.85,         25.88,         33.34,         25200,         32050,         41280,         53820,         69340,,
13-1199,"Business operations specialists, all other",,        916290,       0.7,         28.38,         59030,           0.4,         14.09,         19.09,         26.22,         34.90,         44.88,         29300,         39710,         54550,         72580,         93350,,
13-2011,Accountants and auditors,,       1051220,       0.6,         27.89,         58020,           0.3,         15.95,         19.66,         25.10,         32.90,         43.06,         33170,         40900,         52210,         68430,         89550,,
13-2021,Appraisers and assessors of real estate,,         63800,       3.5,         23.96,         49830,           2.0,         11.07,         14.90,         20.88,         29.86,         40.14,         23020,         30990,         43440,         62100,         83480,,
13-2031,Budget analysts,,         53510,       1.4,         29.89,         62180,           0.6,         18.61,         22.85,         28.32,         35.52,         43.34,         38720,         47530,         58910,         73880,         90150,,
13-2041,Credit analysts,,         61500,       2.2,         27.94,         58110,           0.9,         14.49,         18.16,         24.22,         33.69,         45.98,         30130,         37780,         50370,         70070,         95640,,
13-2051,Financial analysts,,        180910,       1.6,         35.16,         73130,           0.9,         18.51,         23.35,         30.70,         41.67,         57.08,         38500,         48570,         63860,         86680,        118730,,
13-2052,Personal financial advisors,,        108640,       2.6,         39.89,         82970,           1.7,         14.93,         20.25,         30.53,         51.67,#,         31060,         42110,         63500,        107470,#,,
13-2053,Insurance underwriters,,         98970,       2.4,         27.15,         56480,           0.8,         15.07,         18.75,         24.65,         33.22,         42.72,         31350,         39000,         51270,         69110,         88860,,
13-2061,Financial examiners,,         22160,       2.4,         32.74,         68090,           1.4,         16.32,         21.66,         30.33,         41.94,         53.46,         33950,         45050,         63090,         87240,        111200,,
13-2071,Loan counselors,,         28030,       4.4,         20.85,         43370,           4.7,         11.60,         13.82,         17.15,         22.80,         32.57,         24120,         28740,         35680,         47420,         67740,,
13-2072,Loan officers,,        332690,       1.4,         28.53,         59350,           0.7,         13.74,         17.42,         23.77,         33.78,         49.05,         28580,         36240,         49440,         70270,        102020,,
13-2081,"Tax examiners, collectors, and revenue agents",,         72290,       0.8,         23.78,         49460,           0.3,         12.48,         16.17,         21.26,         30.50,         40.26,         25950,         33630,         44210,         63440,         83740,,
13-2082,Tax preparers,,         58850,       4.8,         14.90,         31000,           1.8,          7.59,          9.33,         12.36,         17.98,         25.41,         15780,         19410,         25700,         37400,         52860,,
13-2099,"Financial specialists, all other",,        122320,       2.2,         27.47,         57130,           0.8,         14.65,         18.60,         24.64,         33.23,         43.48,         30480,         38690,         51260,         69120,         90440,,
15-0000,Computer and mathematical occupations,major,       2952740,       0.5,         32.26,         67100,           0.3,         16.57,         22.47,         30.74,         40.64,         51.01,         34460,         46730,         63940,         84520,        106090,,
15-1011,"Computer and information scientists, research",,         25890,       3.5,         45.21,         94030,           1.3,         25.33,         33.70,         43.86,         54.73,         67.19,         52680,         70090,         91230,        113830,        139760,,
15-1021,Computer programmers,,        389090,       1.2,         32.40,         67400,           0.7,         17.97,         23.10,         30.49,         39.71,         49.93,         37380,         48040,         63420,         82600,        103850,,
15-1031,"Computer software engineers, applications",,        455980,       1.5,         38.24,         79540,           0.6,         22.77,         29.05,         37.06,         45.66,         55.84,         47370,         60420,         77090,         94970,        116150,,
15-1032,"Computer software engineers, systems software",,        320720,       1.8,         40.54,         84310,           0.5,         24.95,         31.28,         39.48,         48.94,         57.89,         51890,         65070,         82120,        101780,        120410,,
15-1041,Computer support specialists,,        499860,       0.9,         20.86,         43380,           0.4,         11.65,         14.94,         19.52,         25.41,         32.52,         24230,         31070,         40610,         52840,         67640,,
15-1051,Computer systems analysts,,        492120,       1.1,         33.86,         70430,           0.3,         20.71,         26.00,         32.84,         40.97,         49.40,         43080,         54070,         68300,         85210,        102750,,
15-1061,Database administrators,,         99380,       1.4,         31.54,         65590,           0.4,         17.02,         22.56,         30.41,         39.92,         48.52,         35400,         46920,         63250,         83040,        100930,,
15-1071,Network and computer systems administrators,,        270330,       0.9,         30.39,         63210,           0.3,         18.17,         22.78,         28.81,         36.63,         44.84,         37790,         47390,         59930,         76190,         93270,,
15-1081,Network systems and data communications analysts,,        185190,       1.4,         31.23,         64970,           0.5,         17.74,         22.69,         29.69,         38.66,         47.42,         36900,         47190,         61750,         80410,         98640,,
15-1099,"Computer specialists, all other",,        116760,       2.3,         30.38,         63190,           1.1,         14.31,         20.00,         28.57,         38.72,         49.61,         29760,         41590,         59420,         80540,        103190,,
15-2011,Actuaries,,         15770,       4.9,         43.63,         90760,           1.2,         21.95,         27.76,         39.25,         54.02,#,         45660,         57740,         81640,        112360,#,,
15-2021,Mathematicians,,          2930,       7.9,         39.02,         81150,           2.7,         20.07,         27.66,         38.90,         49.14,         58.55,         41750,         57530,         80920,        102200,        121770,,
15-2031,Operations research analysts,,         52530,       1.9,         31.70,         65940,           0.6,         17.94,         22.79,         29.90,         39.11,         48.83,         37310,         47400,         62180,         81350,        101570,,
15-2041,Statisticians,,         17480,       2.7,         31.79,         66130,           0.8,         16.88,         21.76,         30.02,         40.30,         50.28,         35110,         45260,         62450,         83830,        104580,,
15-2091,Mathematical technicians,,          1430,       8.9,         22.23,         46230,           4.2,         12.26,         14.42,         17.54,         26.76,         34.32,         25500,         29990,         36470,         55670,         71380,,
15-2099,"Mathematical scientists, all other",,          7320,      11.7,         29.60,         61560,           1.9,         16.75,         23.25,         29.74,         35.51,         42.44,         34840,         48360,         61860,         73860,         88280,,
17-0000,Architecture and engineering occupations,major,       2382480,       0.6,         30.73,         63910,           0.2,         15.94,         21.52,         28.94,         38.69,         48.50,         33160,         44760,         60200,         80470,        100880,,
17-1011,"Architects, except landscape and naval",,         96740,       2.0,         32.96,         68560,           0.7,         18.81,         23.40,         30.22,         39.27,         50.72,         39130,         48670,         62850,         81680,        105500,,
17-1012,Landscape architects,,         20220,       5.2,         28.62,         59540,           1.9,         16.14,         20.27,         26.07,         34.24,         44.38,         33570,         42150,         54220,         71220,         92310,,
17-1021,Cartographers and photogrammetrists,,         11260,       4.6,         24.68,         51340,           1.5,         14.24,         17.62,         23.20,         30.70,         38.43,         29620,         36640,         48250,         63850,         79930,,
17-1022,Surveyors,,         54220,       2.0,         23.53,         48950,           0.7,         12.28,         16.33,         22.05,         29.20,         36.48,         25530,         33960,         45860,         60730,         75870,,
17-2011,Aerospace engineers,,         81100,       6.5,         41.08,         85450,           0.9,         27.53,         33.03,         40.43,         49.02,         56.58,         57250,         68700,         84090,        101970,        117680,,
17-2021,Agricultural engineers,,          3170,      10.4,         31.91,         66370,           1.5,         19.79,         24.49,         31.20,         39.23,         44.59,         41160,         50940,         64890,         81600,         92750,,
17-2031,Biomedical engineers,,         11660,       5.6,         36.24,         75380,           1.2,         21.18,         26.47,         34.54,         43.66,         54.61,         44060,         55050,         71840,         90820,        113590,,
17-2041,Chemical engineers,,         27550,       2.6,         38.09,         79230,           0.8,         23.73,         29.32,         37.09,         45.58,         54.79,         49350,         60990,         77140,         94810,        113950,,
17-2051,Civil engineers,,        229700,       1.4,         33.41,         69480,           0.4,         21.35,         25.52,         31.82,         39.83,         48.10,         44410,         53080,         66190,         82850,        100040,,
17-2061,Computer hardware engineers,,         78580,       3.8,         41.91,         87170,           0.9,         25.23,         32.03,         40.59,         50.94,         61.68,         52470,         66630,         84420,        105960,        128300,,
17-2071,Electrical engineers,,        144920,       1.7,         36.57,         76060,           0.5,         22.96,         28.30,         35.34,         43.42,         53.16,         47750,         58860,         73510,         90320,        110570,,
17-2072,"Electronics engineers, except computer",,        130050,       2.0,         38.46,         79990,           0.6,         24.08,         29.78,         37.52,         46.43,         55.11,         50090,         61950,         78030,         96580,        114630,,
17-2081,Environmental engineers,,         50140,       2.6,         34.00,         70720,           0.7,         20.47,         25.34,         32.74,         41.32,         50.29,         42570,         52710,         68090,         85940,        104610,,
17-2111,"Health and safety engineers, except mining safety engineers and inspectors",,         25330,       2.2,         32.33,         67240,           1.0,         19.34,         24.45,         31.35,         39.21,         46.22,         40230,         50850,         65210,         81560,         96130,,
