occ_code,occ_titl,group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_wpct10,h_wpct25,h_median,h_wpct75,h_wpct90,a_wpct10,a_wpct25,a_median,a_wpct75,a_wpct90,annual,year
11-0000,Management Occupations,major,7782680,0.3,32.78,68190,0.2,14.05,19.95,29.47,42.8,63.80,29220,41500,61310,89020,132710,,2000
11-1011,Chief Executives,,519890,0.9,50.3,104630,0.5,22.3,34.99,54.72,#,#,46390,72780,113810,#,#,,2000
11-1021,General and Operations Managers,,2221590,0.5,33.76,70220,0.3,14.16,19.65,29.41,45.01,#,29450,40880,61160,93610,#,,2000
11-1031,Legislators,,52750,2.8,13.29,27650,1.9,5.56,6.03,6.78,16.69,30.22,11560,12530,14110,34720,62860,,2000
11-2011,Advertising and Promotions Managers,,93420,1.8,29.93,62260,1.1,13.39,17.48,25.66,39.13,57.36,27840,36370,53360,81400,119310,,2000
11-2021,Marketing Managers,,202100,1.6,36.23,75360,0.6,17.28,23.79,34.25,47.09,64.09,35950,49480,71240,97940,133300,,2000
11-2022,Sales Managers,,344180,1,35.69,74230,0.5,16.68,22.92,32.94,46.75,66.24,34700,47670,68520,97250,137780,,2000
11-2031,Public Relations Managers,,68000,4.4,29.54,61430,1.8,14.51,19.57,26.22,36.6,52.26,30180,40700,54540,76130,108710,,2000
11-3011,Administrative Services Managers,,344440,1.2,25.31,52650,0.7,11.44,15.65,22.63,32.51,43.33,23800,32550,47080,67630,90120,,2000
11-3021,Computer and Information Systems Managers,,283480,1.2,38.58,80250,0.5,21.2,28.67,37.9,48.47,61.28,44090,59640,78830,100820,127460,,2000
11-3031,Financial Managers,,622890,1.4,34.89,72570,0.9,17.33,23.15,32.22,44.03,63.04,36050,48150,67020,91580,131120,,2000
11-3040,Human Resources Managers,,224970,1.1,30.49,63420,0.5,16.04,20.96,28.36,38.65,50.01,33360,43600,59000,80390,104020,,2000
11-3051,Industrial Production Managers,,205370,0.8,31.55,65620,0.5,17.08,22.25,29.64,39.39,50.97,35530,46290,61660,81930,106020,,2000
11-3061,Purchasing Managers,,126030,1.1,27.64,57500,0.5,13.99,18.64,25.5,34.36,44.73,29100,38770,53030,71480,93040,,2000
11-3071,"Transportation, Storage, and Distribution Managers",,116680,1.3,27.98,58200,0.5,15.13,19.7,26.07,34.21,43.62,31470,40970,54230,71160,90730,,2000
