occ_code,occ_title,group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
00-0000,All Occupations,,     128127360,       0.1,         17.80,         37020,           0.2,          7.16,          9.28,         13.83,         21.66,         32.94,         14880,         19300,         28770,         45060,         68510,,
11-0000,Management occupations,major,       6200940,       0.2,         41.12,         85530,           0.1,         17.19,         24.47,         35.77,         51.87,#,         35760,         50890,         74390,        107900,#,,
11-1011,Chief executives,,        346590,       0.7,         67.27,        139920,           0.3,         27.76,         43.14,         67.47,#,#,         57740,         89730,        140350,#,#,,
11-1021,General and operations managers,,       1752910,       0.4,         44.24,         92010,           0.2,         18.15,         25.20,         37.22,         56.88,#,         37760,         52420,         77420,        118310,#,,
11-1031,Legislators,,         63440,       3.5,*,         30750,           2.5,*,*,*,*,*,         11970,         13080,         16190,         37380,         71010,TRUE,
11-2011,Advertising and promotions managers,,         57100,       1.4,         36.76,         76460,           0.8,         15.79,         21.06,         30.58,         46.12,         68.39,         32840,         43790,         63610,         95930,        142240,,
11-2021,Marketing managers,,        177550,       1.0,         46.48,         96680,           0.4,         21.82,         29.78,         42.13,         58.56,#,         45390,         61940,         87640,        121810,#,,
11-2022,Sales managers,,        320240,       0.7,         45.68,         95010,           0.3,         19.53,         27.26,         40.49,         58.38,#,         40620,         56690,         84220,        121430,#,,
11-2031,Public relations managers,,         50670,       1.4,         38.26,         79580,           1.0,         17.97,         24.17,         33.65,         47.02,         65.81,         37380,         50260,         70000,         97800,        136880,,
11-3011,Administrative services managers,,        254610,       0.8,         31.98,         66530,           0.3,         14.96,         20.52,         28.99,         40.15,         53.01,         31120,         42680,         60290,         83510,        110270,,
11-3021,Computer and information systems managers,,        267390,       0.9,         47.24,         98260,           0.3,         25.65,         34.45,         44.51,         56.89,#,         53350,         71650,         92570,        118330,#,,
11-3031,Financial managers,,        493360,       0.8,         44.04,         91610,           0.4,         21.38,         28.60,         39.37,         54.00,#,         44470,         59490,         81880,        112320,#,,
11-3041,Compensation and benefits managers,,         55040,       0.9,         35.59,         74020,           0.4,         18.87,         24.03,         31.99,         42.95,         57.15,         39250,         49970,         66530,         89340,        118880,,
11-3042,Training and development managers,,         35510,       1.6,         35.45,         73730,           0.7,         17.51,         23.59,         32.43,         43.76,         57.49,         36430,         49060,         67460,         91020,        119580,,
11-3049,"Human resources managers, all other",,         58770,       1.3,         42.11,         87580,           0.5,         23.11,         29.84,         39.33,         51.18,         65.67,         48060,         62080,         81810,        106440,        136600,,
11-3051,Industrial production managers,,        155980,       0.7,         38.06,         79170,           0.3,         20.99,         26.78,         35.09,         45.60,         59.14,         43660,         55700,         73000,         94850,        123010,,
11-3061,Purchasing managers,,         73480,       0.9,         37.51,         78020,           0.4,         19.86,         26.04,         34.83,         45.66,         58.46,         41300,         54150,         72450,         94970,        121600,,
11-3071,"Transportation, storage, and distribution managers",,         88100,       1.0,         34.87,         72530,           0.4,         18.76,         24.37,         32.02,         42.13,         54.60,         39010,         50690,         66600,         87620,        113560,,
11-9011,"Farm, ranch, and other agricultural managers",,          4810,       8.0,         26.51,         55140,           1.4,         14.66,         18.38,         24.38,         31.52,         41.52,         30490,         38220,         50700,         65560,         86350,,
11-9012,Farmers and ranchers,,           540,      19.4,         20.78,         43230,           5.5,          9.56,         13.43,         19.44,         24.26,         35.58,         19890,         27920,         40440,         50450,         74000,,
11-9021,Construction managers,,        185580,       1.7,         37.83,         78690,           0.8,         20.25,         25.69,         33.59,         44.40,         60.74,         42120,         53430,         69870,         92350,        126330,,
11-9031,"Education administrators, preschool and child care center/program",,         50590,       2.2,         19.74,         41060,           1.3,         10.39,         13.18,         17.18,         23.51,         32.98,         21620,         27410,         35730,         48910,         68600,,
11-9032,"Education administrators, elementary and secondary school",,        209630,       0.9,*,         75640,           0.8,*,*,*,*,*,         49440,         60660,         74190,         89940,        107580,TRUE,
11-9033,"Education administrators, postsecondary",,        101530,       1.5,         36.44,         75800,           0.8,         18.46,         23.99,         32.86,         44.57,         59.45,         38400,         49890,         68340,         92700,        123650,,
11-9039,"Education administrators, all other",,         22570,       2.4,         32.01,         66580,           0.9,         16.35,         21.72,         28.96,         39.54,         51.60,         34010,         45180,         60250,         82240,        107330,,
11-9041,Engineering managers,,        186380,       0.9,         49.33,        102600,           0.3,         30.65,         37.90,         46.94,         58.22,#,         63750,         78820,         97630,        121090,#,,
11-9051,Food service managers,,        206340,       2.3,         21.13,         43940,           2.8,         11.78,         14.91,         19.04,         24.74,         33.11,         24500,         31010,         39610,         51460,         68860,,
11-9061,Funeral directors,,         23140,       2.4,         25.82,         53710,           1.7,         12.72,         17.25,         22.10,         29.26,         41.31,         26470,         35880,         45960,         60860,         85910,,
11-9071,Gaming managers,,          3520,       5.7,         31.77,         66090,           1.4,         16.88,         22.14,         28.17,         38.09,         51.98,         35110,         46040,         58580,         79230,        108120,,
11-9081,Lodging managers,,         30860,       3.2,         21.18,         44060,           1.4,         10.90,         13.77,         18.11,         24.54,         34.69,         22680,         28640,         37660,         51030,         72160,,
11-9111,Medical and health services managers,,        224070,       0.9,         36.12,         75140,           0.5,         19.93,         25.26,         32.42,         42.41,         56.72,         41450,         52530,         67430,         88210,        117990,,
11-9121,Natural sciences managers,,         40240,       2.1,         46.06,         95800,           1.0,         23.03,         31.03,         42.63,         56.83,#,         47910,         64550,         88660,        118210,#,,
11-9131,Postmasters and mail superintendents,,         26430,       0.0,         24.43,         50820,           0.1,         17.02,         20.74,         24.32,         27.99,         33.12,         35410,         43140,         50580,         58210,         68880,,
