CIP_Code,CIP_Desc,credential_level_tags,year,avg_debt_debt_all_stgp_any_mean,avg_postgrad_earnings,avg_income_a_mean_broad_detailed,weighted_income_a_mean_by_tot_emp,avg_income_a_pct10_broad_detailed,avg_income_a_pct90_broad_detailed,sum_employment_tot_emp
0100,"Agriculture, General.",Associate's Degree|Bachelor's Degree,2016,20511,,77520,76957,39772,127828,41700
0100,"Agriculture, General.",Associate's Degree|Bachelor's Degree,2017,20220,33220,75422,75862,38538,124145,42550
0100,"Agriculture, General.",Associate's Degree|Bachelor's Degree,2018,20371,35202,75445,76327,39148,124295,41680
0100,"Agriculture, General.",Associate's Degree|Bachelor's Degree,2019,20820,36840,75985,76549,39445,124395,39770
0100,"Agriculture, General.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,19520,,80992,80753,42178,132695,38230
0101,Agribusiness/Agricultural Business Operations.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,17970,,76442,63636,36552,124940,2934200
0101,Agribusiness/Agricultural Business Operations.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,17102,40598,78545,63704,37144,128396,2926710
0101,Agribusiness/Agricultural Business Operations.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,17262,41935,79542,64740,38168,130631,2904540
0101,Agribusiness/Agricultural Business Operations.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,17581,42363,77611,64190,38163,126903,3557810
0101,Agribusiness/Agricultural Business Operations.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,18139,,79934,65960,39271,120898,3416270
0102,Agricultural Mechanics and Equipment/Machine Technology/Technician.,Associate's Degree|Undergraduate Certificate or Diploma,2016,12944,,55683,53955,31428,84217,442720
0102,Agricultural Mechanics and Equipment/Machine Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,13899,48250,55925,55284,31275,85282,448390
0102,Agricultural Mechanics and Equipment/Machine Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,15339,47885,57137,56924,32185,87563,453520
0102,Agricultural Mechanics and Equipment/Machine Technology/Technician.,Associate's Degree|Bachelor's Degree,2019,18046,54586,58103,58273,32622,89517,466070
0102,Agricultural Mechanics and Equipment/Machine Technology/Technician.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,13483,,60562,59836,34378,92658,455270
0103,"Agricultural Production Operations, General.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,16714,,64036,54019,33297,103022,119390
0103,"Agricultural Production Operations, General.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,16869,30000,64174,54469,33043,102516,122640
0103,"Agricultural Production Operations, General.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,16928,31265,64243,54655,33346,102979,127150
0103,"Agricultural Production Operations, General.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,17982,29624,64763,55158,34589,101910,124730
0103,"Agricultural Production Operations, General.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,16722,,66631,56924,35382,105485,122770
0104,Agricultural and Food Products Processing.,Bachelor's Degree,2016,22555,,63237,58400,33427,97787,44600
0104,Agricultural and Food Products Processing.,Associate's Degree|Bachelor's Degree,2017,21236,44100,62260,58411,32423,97367,45510
0104,Agricultural and Food Products Processing.,Associate's Degree|Bachelor's Degree,2018,21721,49762,62550,58852,32863,98680,45850
0104,Agricultural and Food Products Processing.,Bachelor's Degree|Undergraduate Certificate or Diploma,2019,19898,66969,63000,58520,32993,100323,45790
0104,Agricultural and Food Products Processing.,Undergraduate Certificate or Diploma,2020,21285,,66413,60651,36087,104350,44610
0105,"Agricultural and Domestic Animal Services, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,16079,,52840,38243,28015,84370,327720
0105,"Agricultural and Domestic Animal Services, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,13538,20200,52062,38647,27390,83228,329680
0105,"Agricultural and Domestic Animal Services, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,12411,21262,52640,39120,28298,84208,335890
0105,"Agricultural and Domestic Animal Services, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,14030,19114,53260,39849,28258,86668,350660
0105,"Agricultural and Domestic Animal Services, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,13053,,56060,41535,30345,90302,322890
0106,"Applied Horticulture/Horticultural Business Services, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,18474,,51286,38271,27533,79920,2279330
0106,"Applied Horticulture/Horticultural Business Services, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,19285,30938,51820,38617,27693,81269,2290450
0106,"Applied Horticulture/Horticultural Business Services, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,18601,34348,52350,39929,28512,82554,2273810
0106,"Applied Horticulture/Horticultural Business Services, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,18281,36693,53052,40941,29328,82739,2266490
0106,"Applied Horticulture/Horticultural Business Services, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,18785,,54454,42308,30336,84793,2114570
0107,International Agriculture.,Bachelor's Degree,2016,11872,,83950,81956,42465,135365,24540
0107,International Agriculture.,Bachelor's Degree,2017,12803,,81840,80230,40275,134695,25820
0107,International Agriculture.,Bachelor's Degree,2018,12244,31839,81730,80774,40875,134175,24140
0107,International Agriculture.,Bachelor's Degree,2019,12342,31652,82755,81613,40555,137180,22930
0107,International Agriculture.,Bachelor's Degree,2020,14521,,88195,86505,44170,144040,21600
0108,Agricultural Communication/Journalism.,Bachelor's Degree,2016,19115,,49800,47967,24390,79940,78290
0108,Agricultural Communication/Journalism.,Bachelor's Degree,2017,20584,30650,49875,48018,25230,79615,81190
0108,Agricultural Communication/Journalism.,Bachelor's Degree,2018,19586,38258,50820,49299,26320,80745,83960
0108,Agricultural Communication/Journalism.,Bachelor's Degree,2019,19886,26813,55460,55235,26193,94183,126780
0108,Agricultural Communication/Journalism.,Bachelor's Degree,2020,19111,,58087,58177,26550,99853,112030
0109,Agricultural Animal Breeding.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,21106,,69256,64312,33964,112536,45540
0109,Agricultural Animal Breeding.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,20424,28932,68646,63998,33284,111666,47160
0109,Agricultural Animal Breeding.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,20532,29689,68402,63947,33884,112074,47930
0109,Agricultural Animal Breeding.,Associate's Degree|Bachelor's Degree,2019,20189,29727,68698,63536,34808,111472,48500
0109,Agricultural Animal Breeding.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,20292,,71368,65775,36188,116378,47600
0110,Brewing Science.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,21457,,61911,41536,32490,99499,259040
0110,Brewing Science.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,22036,38645,62393,42206,32300,101050,265760
0110,Brewing Science.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,22649,42684,63007,42935,33043,102169,275650
0110,Brewing Science.,Bachelor's Degree|Undergraduate Certificate or Diploma,2019,21551,42415,63820,43784,33659,102734,275250
0110,Brewing Science.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,22468,,66069,45878,35087,106026,265060
0111,Agricultural and Horticultural Plant Breeding.,Bachelor's Degree,2016,22661,,71398,65957,36538,114732,82450
0111,Agricultural and Horticultural Plant Breeding.,Associate's Degree|Bachelor's Degree,2017,22021,34696,71306,65761,35814,114494,85380
0111,Agricultural and Horticultural Plant Breeding.,Associate's Degree|Bachelor's Degree,2018,21120,37178,71314,66126,36229,115096,87210
0111,Agricultural and Horticultural Plant Breeding.,Bachelor's Degree,2019,21672,37230,71416,66026,37616,113231,86490
0111,Agricultural and Horticultural Plant Breeding.,Associate's Degree|Bachelor's Degree,2020,20166,,73915,68265,38792,118000,85030
0112,Soil Chemistry and Physics.,Bachelor's Degree,2016,20947,,80923,78851,41477,131943,46700
0112,Soil Chemistry and Physics.,Bachelor's Degree,2017,21754,40150,79753,78670,40307,130403,46850
0112,Soil Chemistry and Physics.,Bachelor's Degree,2018,23307,40584,80890,80002,40877,132890,45850
0112,Soil Chemistry and Physics.,Bachelor's Degree,2019,23076,54798,80647,79886,40887,131487,41890
0112,Soil Chemistry and Physics.,Bachelor's Degree,2020,24209,,87027,86503,44147,143820,42180
0113,"Agriculture/Veterinary Preparatory Programs, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,17511,,,,,,
0113,"Agriculture/Veterinary Preparatory Programs, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,19664,,,,,,
0113,"Agriculture/Veterinary Preparatory Programs, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,19928,27141,,,,,
0113,"Agriculture/Veterinary Preparatory Programs, Other.",Associate's Degree|Bachelor's Degree,2020,24508,,,,,,
0180,Veterinary Medicine.,Bachelor's Degree,2016,16483,,112995,118816,47960,161070,254390
0180,Veterinary Medicine.,Bachelor's Degree,2017,15525,,112210,117277,48590,159320,263980
0180,Veterinary Medicine.,Bachelor's Degree,2018,16991,77758,113780,117834,49955,162450,270540
0181,Comparative and Laboratory Animal Medicine.,Bachelor's Degree,2016,32598,,99627,118375,44087,143630,256860
0181,Comparative and Laboratory Animal Medicine.,Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate,2017,30770,,97753,116813,44230,137060,266530
0181,Comparative and Laboratory Animal Medicine.,Bachelor's Degree|Post-baccalaureate Certificate,2018,28246,44250,98417,117369,45393,137940,273070
0181,Comparative and Laboratory Animal Medicine.,Associate's Degree|Bachelor's Degree|Post-baccalaureate Certificate|Undergraduate Certificate or Diploma,2020,20545,,102593,119991,48417,144870,276430
0183,"Veterinary/Animal Health Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,18393,,62037,79028,28110,43070,366120
0183,"Veterinary/Animal Health Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,18428,,61723,78006,28397,43825,382440
0183,"Veterinary/Animal Health Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,18372,29287,62190,77750,28937,44450,395640
0183,"Veterinary/Animal Health Technologies/Technicians, Other.",Undergraduate Certificate or Diploma,2019,11467,22317,62660,76894,29890,45515,409600
0183,"Veterinary/Animal Health Technologies/Technicians, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,16661,,64577,78830,30310,46745,408340
0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.",Associate's Degree|Bachelor's Degree,2016,20083,,,,,,
0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.",Associate's Degree|Bachelor's Degree,2017,19919,41550,,,,,
0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.",Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,19567,45688,,,,,
0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.",Bachelor's Degree,2019,24242,50394,,,,,
0199,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.",Bachelor's Degree,2020,21423,,,,,,
0301,Environmental Science.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,24641,,75067,71214,41132,116610,394320
0301,Environmental Science.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,24276,30634,75863,72262,41033,118275,407380
0301,Environmental Science.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,23738,33532,77075,73290,41160,120728,420100
0301,Environmental Science.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2019,23451,35298,70264,71088,39091,107739,492980
0301,Environmental Science.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,21730,,71426,72699,39431,110434,512680
0302,Bioenergy.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2016,24688,,72185,71578,38213,112616,2211000
0302,Bioenergy.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2017,23301,31253,74004,73524,39095,115197,2267900
0302,Bioenergy.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2018,25074,36323,75625,75540,39883,118529,2334260
0302,Bioenergy.,Bachelor's Degree|Undergraduate Certificate or Diploma,2019,24839,34169,74327,67250,39775,116157,1905910
0302,Bioenergy.,Associate's Degree|Bachelor's Degree|Undergraduate Certificate or Diploma,2020,24792,,76485,70355,40704,114541,1861550
0303,Fishing and Fisheries Sciences and Management.,Bachelor's Degree,2016,27571,,48820,48820,26570,76270,19550
